ID,damon,ratan,shikhar,ClearMajority,SoftMajority,NoClearMajority
140707070135296,2,1,2,2,-,-
1973034292771842,1,0,0,0,-,-
1826638557631491,2,0,1,-,1,-
187993745381382,-1,-1,-1,-1,-,-
1985439574862643,2,0,2,2,-,-
1110468549106700,1,-1,1,1,-,-
196809174357518,2,1,-2,-,1,-
192231134771727,-1,-1,-2,-1,-,-
1564735593653779,-1,-1,0,-1,-,-
1209660505842708,1,1,1,1,-,-
164421631010843,-2,-1,-2,-2,-,-
1923210374356000,-2,-1,-2,-2,-,-
181259929261488,-2,-1,-1,-1,-,-
1348471648622115,2,0,1,-,1,-
1814096832231461,0,0,0,0,-,-
1660205584058920,0,0,0,0,-,-
174991756676649,0,1,1,1,-,-
1064876620333102,-1,-1,-2,-1,-,-
146065389593648,-2,-1,-1,-1,-,-
158333188356659,-2,-1,-2,-2,-,-
1029676890522677,0,0,0,0,-,-
1786531908052022,1,1,1,1,-,-
1097533527071288,0,0,0,0,-,-
190912308273726,2,1,1,1,-,-
186293592205376,1,1,0,1,-,-
1027304080777793,1,0,0,0,-,-
1790934117640263,-2,0,-1,-,-1,-
1587189471392329,-2,-1,-1,-1,-,-
1890336357935690,2,1,1,1,-,-
137682000424887,1,1,2,1,-,-
1751800261593954,2,0,1,-,1,-
1977225392590926,-2,1,-1,-,-1,-
188966298440272,-1,0,-1,-1,-,-
1014858125337170,-1,1,-1,-1,-,-
180634745925997,-2,-1,-2,-2,-,-
180706125982052,1,0,1,1,-,-
1889601361337415,-2,-1,-2,-2,-,-
140176010139227,-2,-1,-1,-1,-,-
1626735614118495,-1,0,-1,-1,-,-
1269156259886691,0,0,0,0,-,-
174925623368807,2,0,1,-,1,-
1977074529031272,0,0,0,0,-,-
1418374031641197,-1,1,-1,-1,-,-
150840825785875,-1,0,-1,-1,-,-
170014120347764,-1,-1,0,-1,-,-
187874581787772,2,1,2,2,-,-
194470624596097,2,1,1,1,-,-
1965427437035141,2,0,0,0,-,-
1035552859945097,1,0,1,1,-,-
1765600423520877,-1,-1,0,-1,-,-
184085305640082,2,0,1,-,1,-
173022116873365,2,0,2,2,-,-
1794803380611215,-2,1,-1,-,-1,-
1865495153748420,2,1,1,1,-,-
1604664166313114,-1,0,-1,-1,-,-
146375562891931,2,1,1,1,-,-
1879533732110099,2,1,1,1,-,-
148603192523425,-1,-1,-1,-1,-,-
157852468261028,0,0,0,0,-,-
1812476708773032,-1,0,-1,-1,-,-
1737050493043881,2,0,2,2,-,-
1672185226235562,2,0,0,0,-,-
